Time,Emotion,Confidence
2026-05-09 00:04:37,neutral,85.22
2026-05-09 00:04:37,fear,62.70
2026-05-09 00:04:37,fear,84.70
2026-05-09 00:04:37,fear,66.64
2026-05-09 00:04:37,fear,66.64
2026-05-09 00:04:38,fear,77.68
2026-05-09 00:04:38,fear,63.53
2026-05-09 00:04:38,fear,54.17
2026-05-09 00:04:38,fear,60.77
2026-05-09 00:04:39,fear,70.43
2026-05-09 00:04:40,fear,86.72
2026-05-09 00:04:40,fear,83.01
2026-05-09 00:04:40,fear,82.54
2026-05-09 00:04:40,fear,85.64
2026-05-09 00:04:40,fear,83.91
2026-05-09 00:04:40,fear,86.77
2026-05-09 00:04:40,fear,86.77
2026-05-09 00:04:40,fear,78.31
2026-05-09 00:04:41,fear,76.84
2026-05-09 00:04:41,fear,72.05
2026-05-09 00:04:41,fear,67.92
2026-05-09 00:04:41,fear,60.52
2026-05-09 00:04:41,fear,64.49
2026-05-09 00:04:41,fear,62.75
2026-05-09 00:04:41,fear,57.78
2026-05-09 00:04:41,fear,56.80
2026-05-09 00:04:41,fear,58.34
2026-05-09 00:04:41,fear,58.34
2026-05-09 00:04:42,fear,66.15
2026-05-09 00:04:42,fear,53.13
2026-05-09 00:04:42,fear,58.84
2026-05-09 00:04:42,fear,63.50
2026-05-09 00:04:42,fear,71.51
2026-05-09 00:04:42,fear,72.43
2026-05-09 00:04:42,fear,71.29
2026-05-09 00:04:42,fear,56.67
2026-05-09 00:04:42,fear,70.34
2026-05-09 00:04:43,sad,53.12
2026-05-09 00:04:43,sad,51.47
2026-05-09 00:04:43,fear,60.39
2026-05-09 00:04:43,fear,50.63
2026-05-09 00:04:44,fear,59.39
2026-05-09 00:04:44,fear,55.40
2026-05-09 00:04:44,fear,57.38
2026-05-09 00:04:44,fear,57.38
2026-05-09 00:04:44,sad,60.86
2026-05-09 00:04:44,sad,64.41
2026-05-09 00:04:44,sad,53.46
2026-05-09 00:04:44,sad,57.04
2026-05-09 00:04:44,sad,58.17
2026-05-09 00:04:44,sad,58.56
2026-05-09 00:04:44,fear,70.46
2026-05-09 00:04:45,sad,69.64
2026-05-09 00:04:45,sad,54.56
2026-05-09 00:04:45,sad,64.40
2026-05-09 00:04:45,sad,64.40
2026-05-09 00:04:46,sad,79.31
2026-05-09 00:04:46,sad,79.18
2026-05-09 00:04:46,sad,68.22
2026-05-09 00:04:46,sad,78.53
2026-05-09 00:04:46,sad,72.12
2026-05-09 00:04:46,fear,55.94
2026-05-09 00:04:46,fear,58.52
2026-05-09 00:04:46,fear,58.52
2026-05-09 00:04:46,sad,51.23
2026-05-09 00:04:47,sad,59.26
2026-05-09 00:04:47,fear,55.59
2026-05-09 00:04:47,sad,57.16
2026-05-09 00:04:47,sad,72.21
2026-05-09 00:04:47,sad,61.69
2026-05-09 00:04:47,sad,85.79
2026-05-09 00:04:47,fear,50.00
2026-05-09 00:04:47,sad,62.90
2026-05-09 00:04:47,sad,81.85
2026-05-09 00:04:47,sad,87.35
2026-05-09 00:04:47,sad,73.18
2026-05-09 00:04:48,sad,82.72
2026-05-09 00:04:48,sad,68.89
2026-05-09 00:04:48,sad,68.42
2026-05-09 00:04:48,sad,86.78
2026-05-09 00:04:48,sad,85.48
2026-05-09 00:04:48,sad,70.72
2026-05-09 00:04:48,sad,78.86
2026-05-09 00:04:48,sad,78.86
2026-05-09 00:04:48,sad,55.71
2026-05-09 00:04:48,sad,55.71
2026-05-09 00:04:48,sad,63.10
2026-05-09 00:04:49,sad,83.95
